Year,REF_AREA,Country,Age,% Population,Value_population
2019,HRV,Croatie,65+,21.33,842439.0
2019,HRV,Croatie,20-64,59.33,2343066.0
2019,HRV,Croatie,20-,19.34,763885.0
2002,AUT,Autriche,20-64,61.99,5008631.0
2002,AUT,Autriche,65+,15.46,1248910.0
2002,AUT,Autriche,20-,22.56,1822751.0
2003,AUT,Autriche,20-64,62.2,5047093.0
2003,AUT,Autriche,65+,15.44,1253206.0
2003,AUT,Autriche,20-,22.36,1814103.0
2004,AUT,Autriche,20-64,62.13,5073668.0
2004,AUT,Autriche,65+,15.71,1282662.0
2004,AUT,Autriche,20-,22.17,1810102.0
2005,AUT,Autriche,20-64,61.82,5082649.0
2005,AUT,Autriche,65+,16.24,1334880.0
2005,AUT,Autriche,20-,21.95,1804561.0
2006,AUT,Autriche,20-64,61.61,5092165.0
2006,AUT,Autriche,65+,16.67,1377599.0
2006,AUT,Autriche,20-,21.73,1795911.0
2007,AUT,Autriche,20-64,61.46,5097265.0
2007,AUT,Autriche,65+,17.04,1412917.0
2007,AUT,Autriche,20-,21.5,1783472.0
2008,AUT,Autriche,20-64,61.47,5114023.0
2008,AUT,Autriche,65+,17.26,1436227.0
2008,AUT,Autriche,20-,21.27,1769138.0
2009,AUT,Autriche,20-64,61.44,5123709.0
2009,AUT,Autriche,65+,17.53,1462139.0
2009,AUT,Autriche,20-,21.02,1752904.0
2010,AUT,Autriche,20-64,61.53,5142673.0
2010,AUT,Autriche,65+,17.69,1478518.0
2010,AUT,Autriche,20-,20.77,1736176.0
2011,AUT,Autriche,20-64,61.83,5184425.0
2011,AUT,Autriche,65+,17.67,1481609.0
2011,AUT,Autriche,20-,20.5,1718867.0
2012,AUT,Autriche,20-64,61.81,5204689.0
2012,AUT,Autriche,65+,17.96,1512169.0
2012,AUT,Autriche,20-,20.23,1703470.0
2013,AUT,Autriche,20-64,61.84,5239410.0
2013,AUT,Autriche,65+,18.2,1541806.0
2013,AUT,Autriche,20-,19.96,1690960.0
2014,AUT,Autriche,20-64,61.87,5282447.0
2014,AUT,Autriche,65+,18.42,1572602.0
2014,AUT,Autriche,20-,19.71,1683301.0
2015,AUT,Autriche,20-64,61.91,5335642.0
2015,AUT,Autriche,65+,18.5,1594869.0
2015,AUT,Autriche,20-,19.59,1688198.0
2016,AUT,Autriche,20-64,61.89,5407369.0
2016,AUT,Autriche,65+,18.51,1617020.0
2016,AUT,Autriche,20-,19.61,1713274.0
2017,AUT,Autriche,20-64,61.88,5439555.0
2017,AUT,Autriche,65+,18.61,1635875.0
2017,AUT,Autriche,20-,19.51,1715194.0
2018,AUT,Autriche,20-64,61.8,5459145.0
2018,AUT,Autriche,65+,18.77,1658335.0
2018,AUT,Autriche,20-,19.42,1715712.0
2019,AUT,Autriche,20-64,61.7,5474379.0
2019,AUT,Autriche,65+,18.96,1681806.0
2019,AUT,Autriche,20-,19.34,1716159.0
2002,BGR,Bulgarie,65+,17.07,1337455.0
2002,BGR,Bulgarie,20-,21.41,1677960.0
2002,BGR,Bulgarie,20-64,61.52,4821742.0
2003,BGR,Bulgarie,65+,17.2,1337486.0
2003,BGR,Bulgarie,20-64,61.83,4807474.0
2004,BGR,Bulgarie,65+,17.33,1337291.0
2004,BGR,Bulgarie,20-,20.55,1586168.0
2004,BGR,Bulgarie,20-64,62.12,4793401.0
2005,BGR,Bulgarie,65+,17.45,1336634.0
2005,BGR,Bulgarie,20-,20.17,1545126.0
2005,BGR,Bulgarie,20-64,62.37,4777208.0
2006,BGR,Bulgarie,65+,17.57,1335319.0
2006,BGR,Bulgarie,20-,19.81,1505676.0
2006,BGR,Bulgarie,20-64,62.62,4760026.0
2007,BGR,Bulgarie,65+,17.71,1336204.0
2007,BGR,Bulgarie,20-,19.46,1468335.0
2007,BGR,Bulgarie,20-64,62.83,4740800.0
2008,BGR,Bulgarie,65+,17.88,1339823.0
2008,BGR,Bulgarie,20-,19.13,1433159.0
2008,BGR,Bulgarie,20-64,62.99,4719586.0
2009,BGR,Bulgarie,65+,18.07,1345261.0
2009,BGR,Bulgarie,20-,18.82,1400986.0
2009,BGR,Bulgarie,20-64,63.11,4698200.0
2010,BGR,Bulgarie,20-,18.53,1370615.0
2010,BGR,Bulgarie,20-64,63.15,4670519.0
2011,BGR,Bulgarie,65+,18.65,1370767.0
2011,BGR,Bulgarie,20-,18.33,1346582.0
2011,BGR,Bulgarie,20-64,63.02,4630980.0
2012,BGR,Bulgarie,65+,19.0,1388274.0
2012,BGR,Bulgarie,20-,18.23,1331899.0
2012,BGR,Bulgarie,20-64,62.77,4585716.0
2013,BGR,Bulgarie,65+,19.36,1406570.0
2013,BGR,Bulgarie,20-,18.17,1320328.0
2013,BGR,Bulgarie,20-64,62.47,4538220.0
2014,BGR,Bulgarie,20-,18.18,1313182.0
2014,BGR,Bulgarie,20-64,62.04,4481762.0
2015,BGR,Bulgarie,65+,20.22,1451056.0
2015,BGR,Bulgarie,20-,18.27,1311385.0
2015,BGR,Bulgarie,20-64,61.52,4415552.0
2016,BGR,Bulgarie,20-,18.39,1310939.0
2016,BGR,Bulgarie,20-64,61.03,4349935.0
2017,BGR,Bulgarie,20-,18.57,1314009.0
2018,BGR,Bulgarie,65+,21.17,1487514.0
2018,BGR,Bulgarie,20-,18.77,1318899.0
2018,BGR,Bulgarie,20-64,60.05,4218625.0
2019,BGR,Bulgarie,65+,21.48,1498599.0
2019,BGR,Bulgarie,20-,18.89,1317813.0
2019,BGR,Bulgarie,20-64,59.63,4159346.0
2011,ISL,Islande,20-64,58.86,183945.0
2011,ISL,Islande,20-,28.5,89054.0
2011,ISL,Islande,65+,12.64,39511.0
2016,HUN,Hongrie,20-64,62.09,6059572.0
2016,HUN,Hongrie,20-,19.53,1906364.0
2016,HUN,Hongrie,65+,18.38,1793824.0
2016,ISL,Islande,20-64,59.09,194582.0
2016,ISL,Islande,20-,26.78,88195.0
2016,ISL,Islande,65+,14.12,46495.0
2016,ESP,Espagne,20-64,61.47,28537931.0
2016,ESP,Espagne,65+,18.78,8719919.0
2016,ESP,Espagne,20-,19.75,9169250.0
2016,GBR,Royaume-Uni,65+,17.9,11745207.0
2016,GBR,Royaume-Uni,20-,23.38,15340834.0
2016,GBR,Royaume-Uni,20-64,58.71,38521100.0
2015,HUN,Hongrie,20-64,62.34,6108102.0
2015,HUN,Hongrie,20-,19.64,1924384.0
2015,HUN,Hongrie,65+,18.02,1765270.0
2015,ISL,Islande,20-64,58.89,191110.0
2015,ISL,Islande,20-,27.23,88370.0
2015,ISL,Islande,65+,13.88,45050.0
2015,ESP,Espagne,20-64,61.7,28617283.0
2015,ESP,Espagne,65+,18.54,8599852.0
2015,ESP,Espagne,20-,19.76,9167244.0
2015,GBR,Royaume-Uni,65+,17.76,11558978.0
2015,GBR,Royaume-Uni,20-,23.45,15266199.0
2015,GBR,Royaume-Uni,20-64,58.79,38262881.0
2014,HUN,Hongrie,20-64,62.53,6148582.0
2014,HUN,Hongrie,20-,19.8,1947093.0
2014,HUN,Hongrie,65+,17.67,1737359.0
2014,ISL,Islande,20-64,58.86,189173.0
2014,ISL,Islande,20-,27.59,88664.0
2014,ISL,Islande,65+,13.55,43541.0
2014,ESP,Espagne,20-64,61.96,28769578.0
2014,ESP,Espagne,65+,18.28,8487781.0
2014,ESP,Espagne,20-,19.76,9175691.0
2014,GBR,Royaume-Uni,65+,17.6,11372533.0
2014,GBR,Royaume-Uni,20-,23.53,15204550.0
2014,GBR,Royaume-Uni,20-64,58.87,38042410.0
2013,HUN,Hongrie,20-64,62.66,6186604.0
2013,HUN,Hongrie,20-,20.01,1975756.0
2013,HUN,Hongrie,65+,17.32,1710377.0
2013,ISL,Islande,20-64,58.82,186924.0
2013,ISL,Islande,20-,27.92,88717.0
2013,ISL,Islande,65+,13.26,42124.0
2013,ESP,Espagne,20-64,62.34,29037110.0
2013,ESP,Espagne,65+,17.89,8332988.0
2013,ESP,Espagne,20-,19.77,9211026.0
2013,GBR,Royaume-Uni,65+,17.32,11110294.0
2013,GBR,Royaume-Uni,20-,23.65,15167219.0
2013,GBR,Royaume-Uni,20-64,59.03,37861208.0
2012,HUN,Hongrie,20-64,62.71,6216522.0
2012,HUN,Hongrie,20-,20.28,2010396.0
2012,HUN,Hongrie,65+,17.01,1686670.0
2012,ISL,Islande,20-64,58.8,184937.0
2012,ISL,Islande,20-,28.24,88807.0
2012,ISL,Islande,65+,12.96,40754.0
2012,ESP,Espagne,20-64,62.71,29316945.0
2012,ESP,Espagne,65+,17.49,8174391.0
2012,ESP,Espagne,20-,19.8,9257967.0
2012,GBR,Royaume-Uni,65+,17.0,10831048.0
2012,GBR,Royaume-Uni,20-,23.74,15125348.0
2012,GBR,Royaume-Uni,20-64,59.26,37754447.0
2018,HUN,Hongrie,20-64,61.49,5969208.0
2018,HUN,Hongrie,20-,19.47,1890139.0
2018,HUN,Hongrie,65+,19.03,1847614.0
2018,ISL,Islande,20-64,59.91,207190.0
2018,ISL,Islande,20-,25.75,89060.0
2018,ISL,Islande,65+,14.33,49571.0
2018,IRL,Irlande,20-,27.28,1332519.0
2018,IRL,Irlande,20-64,58.87,2875950.0
2018,IRL,Irlande,65+,13.85,676427.0
2018,ESP,Espagne,20-64,61.14,28559930.0
2018,ESP,Espagne,65+,19.21,8972650.0
2018,ESP,Espagne,20-,19.66,9182803.0
2018,GBR,Royaume-Uni,65+,18.2,12063793.0
2018,GBR,Royaume-Uni,20-,23.19,15372409.0
2018,GBR,Royaume-Uni,20-64,58.61,38852725.0
2017,HUN,Hongrie,20-64,61.81,6012028.0
2017,HUN,Hongrie,20-,19.49,1895592.0
2017,HUN,Hongrie,65+,18.7,1819135.0
2017,ISL,Islande,20-64,59.54,200846.0
2017,ISL,Islande,20-,26.25,88556.0
2017,ISL,Islande,65+,14.21,47944.0
2017,IRL,Irlande,20-,27.44,1319949.0
2017,IRL,Irlande,20-64,59.0,2838538.0
2017,IRL,Irlande,65+,13.56,652408.0
2017,ESP,Espagne,20-64,61.27,28497672.0
2017,ESP,Espagne,65+,19.01,8840365.0
2017,ESP,Espagne,20-,19.72,9172424.0
2017,GBR,Royaume-Uni,65+,18.05,11905642.0
2017,GBR,Royaume-Uni,20-,23.28,15358637.0
2017,GBR,Royaume-Uni,20-64,58.67,38701713.0
2019,HUN,Hongrie,20-64,61.04,5917780.0
2019,HUN,Hongrie,20-,19.46,1886603.0
2019,HUN,Hongrie,65+,19.5,1890443.0
2019,ISL,Islande,20-64,59.96,210924.0
2019,ISL,Islande,20-,25.46,89563.0
2019,ISL,Islande,65+,14.57,51267.0
2019,IRL,Irlande,20-,26.98,1337633.0
2019,IRL,Irlande,20-64,58.88,2919466.0
2019,IRL,Irlande,65+,14.14,701372.0
2019,ESP,Espagne,20-64,61.08,28762952.0
2019,ESP,Espagne,65+,19.38,9125804.0
2019,ESP,Espagne,20-,19.54,9199022.0
2019,GBR,Royaume-Uni,65+,18.4,12258659.0
2019,GBR,Royaume-Uni,20-,23.08,15378147.0
2019,GBR,Royaume-Uni,20-64,58.52,38993901.0
2019,ROU,Roumanie,20-,21.09,4090200.0
2019,ROU,Roumanie,20-64,60.2,11674537.0
2019,ROU,Roumanie,65+,18.71,3629491.0
2020,AUT,Autriche,20-64,61.56,5486527.0
2020,AUT,Autriche,65+,19.18,1709098.0
2020,AUT,Autriche,20-,19.26,1716668.0
2020,FRA,France,20-64,55.57,37547805.0
2020,FRA,France,20-,23.93,16166301.0
2020,FRA,France,65+,20.51,13855360.0
2020,HUN,Hongrie,20-64,60.54,5854002.0
2020,HUN,Hongrie,20-,19.48,1883711.0
2020,HUN,Hongrie,65+,19.99,1932703.0
2020,ISL,Islande,20-64,59.76,212855.0
2020,ISL,Islande,20-,25.35,90272.0
2020,ISL,Islande,65+,14.89,53038.0
2020,IRL,Irlande,20-,26.66,1341069.0
2020,IRL,Irlande,20-64,58.9,2962691.0
2020,IRL,Irlande,65+,14.44,726115.0
2020,POL,Pologne,20-,20.2,7710969.0
2020,POL,Pologne,65+,18.32,6992700.0
2020,POL,Pologne,20-64,61.49,23474055.0
2020,ESP,Espagne,20-64,61.1,28926269.0
2020,ESP,Espagne,65+,19.52,9243530.0
2020,ESP,Espagne,20-,19.38,9175053.0
2020,GBR,Royaume-Uni,65+,18.54,12375735.0
2020,GBR,Royaume-Uni,20-,23.02,15361536.0
2020,GBR,Royaume-Uni,20-64,58.44,39006796.0
2020,HRV,Croatie,65+,21.98,860494.0
2020,HRV,Croatie,20-64,58.84,2302961.0
2020,HRV,Croatie,20-,19.18,750751.0
2020,ROU,Roumanie,20-,21.18,4086222.0
2020,ROU,Roumanie,20-64,59.74,11526533.0
2020,ROU,Roumanie,65+,19.09,3683321.0
2021,AUT,Autriche,20-64,61.38,5490666.0
2021,AUT,Autriche,65+,19.38,1733697.0
2021,AUT,Autriche,20-,19.24,1720916.0
2021,FRA,France,20-64,55.55,37707267.0
2021,FRA,France,20-,23.7,16084423.0
2021,FRA,France,65+,20.75,14086960.0
2021,HUN,Hongrie,20-64,60.15,5792651.0
2021,HUN,Hongrie,20-,19.53,1881368.0
2021,HUN,Hongrie,65+,20.32,1956911.0
2021,ISL,Islande,20-64,59.53,215282.0
2021,ISL,Islande,20-,25.26,91351.0
2021,ISL,Islande,65+,15.2,54973.0
2021,IRL,Irlande,20-,26.34,1336567.0
2021,IRL,Irlande,20-64,58.93,2990652.0
2021,IRL,Irlande,65+,14.73,747449.0
2021,POL,Pologne,20-,20.26,7697047.0
2021,POL,Pologne,65+,18.7,7104497.0
2021,POL,Pologne,20-64,61.04,23187973.0
2021,ESP,Espagne,20-64,61.0,28883766.0
2021,ESP,Espagne,65+,19.85,9396344.0
2021,ESP,Espagne,20-,19.15,9066726.0
2021,GBR,Royaume-Uni,65+,18.73,12543689.0
2021,GBR,Royaume-Uni,20-,22.91,15348047.0
2021,GBR,Royaume-Uni,20-64,58.36,39091752.0
2021,BGR,Bulgarie,65+,21.71,1493109.0
2021,BGR,Bulgarie,20-,19.09,1312712.0
2021,BGR,Bulgarie,20-64,59.2,4071920.0
2021,ROU,Roumanie,20-,21.46,4108065.0
2021,ROU,Roumanie,20-64,59.17,11326201.0
2021,ROU,Roumanie,65+,19.36,3706166.0
2022,AUT,Autriche,20-64,61.13,5537219.0
2022,AUT,Autriche,65+,19.51,1767143.0
2022,AUT,Autriche,20-,19.36,1754045.0
2022,FRA,France,20-64,55.51,37834114.0
2022,FRA,France,20-,23.48,16004751.0
2022,FRA,France,65+,21.0,14314285.0
2022,GRC,Grèce,20-,18.6,1941315.0
2022,GRC,Grèce,20-64,58.58,6113713.0
2022,GRC,Grèce,65+,22.82,2381853.0
2022,HUN,Hongrie,20-64,59.93,5756551.0
2022,HUN,Hongrie,20-,19.58,1880840.0
2022,HUN,Hongrie,65+,20.49,1967687.0
2022,ISL,Islande,20-64,59.55,220367.0
2022,ISL,Islande,20-,25.08,92801.0
2022,ISL,Islande,65+,15.38,56901.0
2022,IRL,Irlande,20-,26.08,1352068.0
2022,IRL,Irlande,20-64,58.85,3050599.0
2022,IRL,Irlande,65+,15.07,781299.0
2022,ITA,Italie,20-64,58.63,34599758.0
2022,ITA,Italie,20-,17.45,10297564.0
2022,ITA,Italie,65+,23.92,14116349.0
2022,LTU,Lituanie,20-,19.56,553855.0
2022,LTU,Lituanie,20-64,60.45,1711636.0
2022,LTU,Lituanie,65+,19.99,566147.0
2022,NLD,Pays-Bas,20-,21.15,3744137.0
2022,NLD,Pays-Bas,65+,20.13,3563310.0
2022,NLD,Pays-Bas,20-64,58.72,10393534.0
2022,PRT,Portugal,20-64,58.23,6095713.0
2022,PRT,Portugal,65+,23.75,2486274.0
2022,PRT,Portugal,20-,18.02,1886882.0
2022,ESP,Espagne,20-64,60.93,29111847.0
2022,ESP,Espagne,65+,20.06,9585758.0
2022,ESP,Espagne,20-,19.01,9083749.0
2022,CHE,Suisse,20-,19.93,1749054.0
2022,CHE,Suisse,65+,19.1,1676472.0
2022,CHE,Suisse,20-64,60.97,5351559.0
2022,GBR,Royaume-Uni,65+,18.84,12736274.0
2022,GBR,Royaume-Uni,20-,22.94,15510460.0
2022,GBR,Royaume-Uni,20-64,58.22,39356727.0
2022,BGR,Bulgarie,65+,22.56,1498777.0
2022,BGR,Bulgarie,20-,19.02,1263607.0
2022,BGR,Bulgarie,20-64,58.42,3880941.0
2022,HRV,Croatie,65+,22.61,871870.0
2022,HRV,Croatie,20-64,58.17,2242726.0
2022,HRV,Croatie,20-,19.22,741045.0
2022,ROU,Roumanie,20-,21.77,4147279.0
2022,ROU,Roumanie,20-64,58.64,11172916.0
2022,ROU,Roumanie,65+,19.59,3732499.0
2024,AUT,Autriche,20-64,60.7,5569256.0
2024,AUT,Autriche,65+,20.06,1840844.0
2024,AUT,Autriche,20-,19.24,1764808.0
2024,DNK,Danemark,20-64,57.7,3446069.0
2024,DNK,Danemark,65+,20.79,1241833.0
2024,DNK,Danemark,20-,21.51,1284518.0
2024,EST,Estonie,20-64,57.83,793672.0
2024,EST,Estonie,65+,20.69,283952.0
2024,EST,Estonie,20-,21.48,294717.0
2024,FIN,Finlande,20-,20.36,1144010.0
2024,FIN,Finlande,20-64,56.17,3156812.0
2024,FIN,Finlande,65+,23.47,1319092.0
2024,FRA,France,20-64,55.35,37927290.0
2024,FRA,France,20-,23.05,15797010.0
2024,FRA,France,65+,21.59,14796813.0
2024,DEU,Allemagne,20-,18.68,15617896.0
2024,DEU,Allemagne,65+,22.53,18841707.0
2024,DEU,Allemagne,20-64,58.79,49160972.0
2024,GRC,Grèce,20-,18.26,1897924.0
2024,GRC,Grèce,20-64,58.2,6048977.0
2024,GRC,Grèce,65+,23.53,2445688.0
2024,HUN,Hongrie,20-64,59.67,5713940.0
2024,HUN,Hongrie,20-,19.58,1875192.0
2024,HUN,Hongrie,65+,20.75,1986622.0
2024,ISL,Islande,20-64,59.8,231185.0
2024,ISL,Islande,20-,24.48,94642.0
2024,ISL,Islande,65+,15.72,60756.0
2024,IRL,Irlande,20-,25.45,1369357.0
2024,IRL,Irlande,20-64,59.06,3177747.0
2024,IRL,Irlande,65+,15.49,833209.0
2024,ITA,Italie,20-64,58.46,34463167.0
2024,ITA,Italie,20-,17.0,10024582.0
2024,ITA,Italie,65+,24.54,14464951.0
2024,LVA,Lettonie,65+,21.67,404438.0
2024,LVA,Lettonie,20-64,57.68,1076294.0
2024,LVA,Lettonie,20-,20.65,385392.0
2024,LTU,Lituanie,20-,19.2,554615.0
2024,LTU,Lituanie,20-64,60.18,1738165.0
2024,LTU,Lituanie,65+,20.61,595271.0
2024,LUX,Luxembourg,65+,15.13,102457.0
2024,LUX,Luxembourg,20-,20.93,141717.0
2024,LUX,Luxembourg,20-64,63.93,432836.0
2024,NLD,Pays-Bas,20-,20.71,3726349.0
2024,NLD,Pays-Bas,65+,20.65,3716445.0
2024,NLD,Pays-Bas,20-64,58.64,10551444.0
2024,NOR,Norvège,20-64,58.87,3280464.0
2024,NOR,Norvège,20-,22.32,1243541.0
2024,NOR,Norvège,65+,18.81,1048268.0
2024,POL,Pologne,20-,20.05,7529732.0
2024,POL,Pologne,65+,20.33,7638000.0
2024,POL,Pologne,20-64,59.62,22395339.0
2024,PRT,Portugal,20-64,58.09,6215764.0
2024,PRT,Portugal,65+,24.21,2590241.0
2024,PRT,Portugal,20-,17.71,1895123.0
2024,SVK,République slovaque,65+,18.57,1007078.0
2024,SVK,République slovaque,20-64,60.49,3280020.5
2024,SVK,République slovaque,20-,20.93,1134970.5
2024,SVN,Slovénie,65+,21.98,467462.0
2024,SVN,Slovénie,20-,19.6,416700.0
2024,SVN,Slovénie,20-64,58.42,1242162.0
2024,ESP,Espagne,20-64,60.92,29731512.0
2024,ESP,Espagne,65+,20.58,10044937.0
2024,ESP,Espagne,20-,18.5,9030688.0
2024,SWE,Suède,65+,20.73,2190621.0
2024,SWE,Suède,20-,22.79,2408880.0
2024,SWE,Suède,20-64,56.48,5970209.0
2024,CHE,Suisse,20-,19.91,1792805.0
2024,CHE,Suisse,65+,19.43,1749925.0
2024,CHE,Suisse,20-64,60.66,5462851.0
2024,GBR,Royaume-Uni,65+,18.93,13157644.0
2024,GBR,Royaume-Uni,20-,22.97,15965747.0
2024,GBR,Royaume-Uni,20-64,58.11,40393816.0
2024,BGR,Bulgarie,65+,23.87,1537577.0
2024,BGR,Bulgarie,20-,19.03,1225771.0
2024,BGR,Bulgarie,20-64,57.1,3678072.5
2024,HRV,Croatie,65+,23.2,897000.0
2024,HRV,Croatie,20-64,57.86,2237000.0
2024,HRV,Croatie,20-,18.94,732300.0
2024,ROU,Roumanie,20-,21.58,4115643.0
2024,ROU,Roumanie,20-64,58.29,11116061.0
2024,ROU,Roumanie,65+,20.13,3839262.0
2023,AUT,Autriche,20-64,60.98,5565084.0
2023,AUT,Autriche,65+,19.73,1800699.0
2023,AUT,Autriche,20-,19.29,1759947.0
2023,DNK,Danemark,65+,20.59,1223895.0
2023,DNK,Danemark,20-64,57.68,3428617.0
2023,DNK,Danemark,20-,21.73,1291633.0
2023,EST,Estonie,20-64,58.01,794934.0
2023,EST,Estonie,65+,20.36,278957.0
2023,EST,Estonie,20-,21.63,296395.0
2023,FIN,Finlande,20-,20.55,1147662.0
2023,FIN,Finlande,20-64,56.13,3134301.0
2023,FIN,Finlande,65+,23.32,1301938.0
2023,FRA,France,20-64,55.44,37886125.0
2023,FRA,France,20-,23.28,15909951.0
2023,FRA,France,65+,21.28,14545272.0
2023,DEU,Allemagne,20-,18.65,15533516.0
2023,DEU,Allemagne,65+,22.33,18599400.0
2023,DEU,Allemagne,20-64,59.02,49154365.0
2023,GRC,Grèce,20-,18.4,1914472.0
2023,GRC,Grèce,20-64,58.46,6084562.0
2023,GRC,Grèce,65+,23.14,2408324.0
2023,HUN,Hongrie,20-64,59.79,5735535.0
2023,HUN,Hongrie,20-,19.59,1879167.0
2023,HUN,Hongrie,65+,20.62,1977490.0
2023,ISL,Islande,20-64,59.73,226641.0
2023,ISL,Islande,20-,24.78,94032.0
2023,ISL,Islande,65+,15.49,58797.0
2023,IRL,Irlande,20-,25.77,1361094.0
2023,IRL,Irlande,20-64,58.96,3114222.0
2023,IRL,Irlande,65+,15.27,806296.0
2023,ITA,Italie,20-64,58.56,34541832.0
2023,ITA,Italie,20-,17.25,10173368.0
2023,ITA,Italie,65+,24.19,14269017.0
2023,LVA,Lettonie,65+,21.22,399662.0
2023,LVA,Lettonie,20-64,57.97,1092021.0
2023,LVA,Lettonie,20-,20.81,392025.0
2023,LTU,Lituanie,20-,19.48,559251.0
2023,LTU,Lituanie,65+,20.17,579324.0
2023,LTU,Lituanie,20-64,60.35,1733006.0
2023,LUX,Luxembourg,20-,21.0,139954.0
2023,LUX,Luxembourg,65+,14.95,99622.0
2023,LUX,Luxembourg,20-64,64.05,426852.0
2023,NLD,Pays-Bas,20-,20.93,3741859.0
2023,NLD,Pays-Bas,65+,20.36,3639199.0
2023,NLD,Pays-Bas,20-64,58.71,10496063.0
2023,NOR,Norvège,20-64,58.93,3252924.0
2023,NOR,Norvège,20-,22.52,1242853.0
2023,NOR,Norvège,65+,18.55,1023819.0
2023,POL,Pologne,20-,20.2,7613384.0
2023,POL,Pologne,65+,19.75,7447253.0
2023,POL,Pologne,20-64,60.05,22637657.0
2023,PRT,Portugal,20-64,58.15,6150974.0
2023,PRT,Portugal,65+,23.99,2537739.5
2023,PRT,Portugal,20-,17.86,1889460.0
2023,SVK,République slovaque,65+,18.1,982249.5
2023,SVK,République slovaque,20-64,60.94,3306912.5
2023,SVK,République slovaque,20-,20.96,1137577.5
2023,SVN,Slovénie,65+,21.62,458510.0
2023,SVN,Slovénie,20-,19.64,416508.0
2023,SVN,Slovénie,20-64,58.74,1245919.0
2023,ESP,Espagne,20-64,60.92,29436335.0
2023,ESP,Espagne,65+,20.3,9808031.0
2023,ESP,Espagne,20-,18.78,9076154.0
2023,SWE,Suède,65+,20.51,2160942.0
2023,SWE,Suède,20-,23.01,2424100.0
2023,SWE,Suède,20-64,56.48,5951589.0
2023,CHE,Suisse,20-,19.93,1771829.0
2023,CHE,Suisse,65+,19.25,1710954.0
2023,CHE,Suisse,20-64,60.82,5406035.0
2023,GBR,Royaume-Uni,65+,18.66,12736274.0
2023,GBR,Royaume-Uni,20-,22.72,15510460.0
2023,GBR,Royaume-Uni,20-64,57.65,39356727.0
2023,BGR,Bulgarie,65+,23.63,1523146.0
2023,BGR,Bulgarie,20-,18.92,1219650.0
2023,BGR,Bulgarie,20-64,57.45,3703799.5
2023,HRV,Croatie,65+,22.87,882781.0
2023,HRV,Croatie,20-64,57.98,2237941.0
2023,HRV,Croatie,20-,19.15,738964.0
2023,ROU,Roumanie,20-,21.75,4147597.0
2023,ROU,Roumanie,20-64,58.38,11129744.0
2023,ROU,Roumanie,65+,19.87,3787874.0
