Year,REF_AREA,Country,Expenditure,value_raw,Unit_mult,Currency,Value_expenditure_Share %
2004,FIN,Finlande,Recreation_Culture,8579.0,6,EUR,11.43
2004,FIN,Finlande,Household_Goods,3856.0,6,EUR,5.14
2004,FIN,Finlande,Health,3128.0,6,EUR,4.17
2004,FIN,Finlande,Clothing_Footwear,3574.0,6,EUR,4.76
2004,FIN,Finlande,Education,350.0,6,EUR,0.47
2004,FIN,Finlande,Restaurants_Hotels,4938.0,6,EUR,6.58
2004,FIN,Finlande,Communication,2452.0,6,EUR,3.27
2004,FIN,Finlande,Alcohol_Tobacco,4112.0,6,EUR,5.48
2005,FIN,Finlande,Alcohol_Tobacco,4135.0,6,EUR,5.29
2005,FIN,Finlande,Restaurants_Hotels,5259.0,6,EUR,6.72
2005,FIN,Finlande,Communication,2185.0,6,EUR,2.79
2005,FIN,Finlande,Education,333.0,6,EUR,0.43
2005,FIN,Finlande,Clothing_Footwear,3771.0,6,EUR,4.82
2005,FIN,Finlande,Household_Goods,4147.0,6,EUR,5.3
2005,FIN,Finlande,Health,3367.0,6,EUR,4.31
2005,FIN,Finlande,Recreation_Culture,9094.0,6,EUR,11.63
2005,FIN,Finlande,Housing_Utilities,18980.0,6,EUR,24.27
2005,FIN,Finlande,Transport,10438.0,6,EUR,13.35
2005,FIN,Finlande,Food,9381.0,6,EUR,11.99
2005,FIN,Finlande,Other_Services,7118.0,6,EUR,9.1
2006,FIN,Finlande,Alcohol_Tobacco,4263.0,6,EUR,5.17
2006,FIN,Finlande,Restaurants_Hotels,5525.0,6,EUR,6.7
2006,FIN,Finlande,Communication,2194.0,6,EUR,2.66
2006,FIN,Finlande,Education,360.0,6,EUR,0.44
2006,FIN,Finlande,Clothing_Footwear,4018.0,6,EUR,4.88
2006,FIN,Finlande,Household_Goods,4415.0,6,EUR,5.36
2006,FIN,Finlande,Health,3564.0,6,EUR,4.32
2006,FIN,Finlande,Recreation_Culture,9948.0,6,EUR,12.07
2006,FIN,Finlande,Housing_Utilities,19775.0,6,EUR,24.0
2006,FIN,Finlande,Transport,10828.0,6,EUR,13.14
2006,FIN,Finlande,Food,9789.0,6,EUR,11.88
2006,FIN,Finlande,Other_Services,7733.0,6,EUR,9.38
2007,FIN,Finlande,Alcohol_Tobacco,4355.0,6,EUR,5.02
