Year,REF_AREA,birth_rate,fertility,emp_rate,20-,20-64,65+,Alcohol_Tobacco,Clothing_Footwear,Communication,Education,Food,Health,Household_Goods,Housing_Utilities,Other_Services,Recreation_Culture,Restaurants_Hotels,Transport,gov_spending,"Couple, 2 children","Couple, no children","Single person, no children"
2002,AUT,9.723,1.39,71.77,22.56,61.99,15.46,3.6,6.78,2.71,0.81,10.37,3.91,7.06,19.57,10.33,10.45,11.43,12.98,2.917,21.18,29.57,31.6
2002,FIN,10.694,1.72,72.71,24.14,60.61,15.25,6.14,4.66,3.33,0.46,12.51,4.07,4.87,24.66,9.07,11.19,6.3,12.74,2.8,24.6,29.6,32.07
2002,SVN,8.777,1.21,68.98,21.74,63.63,14.63,5.09,5.96,3.02,0.91,16.38,3.38,5.99,18.91,8.67,10.52,6.44,14.74,2.023,25.3,34.11,35.33
2002,ITA,9.443,1.27,59.44,19.32,61.84,18.84,4.24,7.4,3.13,0.93,15.05,3.29,7.24,18.72,10.14,7.25,8.87,13.74,1.113,23.49,27.04,28.87
2002,PRT,11.004,1.46,73.57,22.37,60.97,16.66,3.57,6.74,3.2,1.38,16.78,4.43,6.74,12.98,10.51,7.46,10.8,15.42,1.307,14.7,19.19,21.51
2002,HUN,9.514,1.3,61.44,22.61,62.08,15.31,6.88,3.89,4.51,1.68,18.15,3.94,6.06,17.95,8.38,8.27,5.9,14.39,2.945,23.58,33.05,36.49
2002,DNK,11.949,1.72,77.83,24.05,61.12,14.83,4.71,4.45,1.97,0.79,11.98,2.63,5.57,26.77,12.48,11.28,5.37,11.99,3.553,34.36,38.36,39.97
2002,NLD,12.548,1.73,74.29,24.49,61.83,13.68,3.04,5.69,4.51,0.67,10.56,4.48,6.47,18.71,14.65,11.17,7.44,13.11,1.577,26.64,30.11,30.65
2002,GBR,11.262,1.48,74.32,24.9,59.22,15.88,4.33,5.15,2.41,1.04,8.06,1.66,5.53,25.48,11.41,10.69,10.2,14.05,2.531,20.15,24.38,25.64
2002,LTU,8.551,1.23,67.19,26.44,58.86,14.7,8.22,5.85,3.24,0.63,27.34,4.46,5.31,15.81,6.18,6.86,3.07,13.03,1.096,26.51,26.51,28.08
2002,FRA,12.894,1.88,69.35,25.48,58.44,16.09,3.97,5.14,3.17,0.39,13.75,3.72,5.44,22.93,12.08,9.33,6.65,14.18,2.934,21.13,26.79,28.44
2002,POL,9.251,1.25,57.14,26.65,60.63,12.71,7.6,4.9,2.96,1.42,22.7,3.86,4.38,21.36,10.6,5.72,2.78,11.72,1.17,27.01,27.01,27.59
2003,POL,9.186,1.22,56.86,25.81,61.33,12.86,7.4,4.86,3.08,1.44,22.18,3.91,4.31,21.64,10.42,6.11,2.77,11.87,1.12,27.28,27.28,27.84
2003,FRA,12.809,1.89,69.24,25.38,58.45,16.16,3.86,5.13,3.28,0.38,13.84,3.8,5.47,23.41,11.68,9.35,6.72,13.83,2.988,21.4,26.95,28.54
2003,LTU,8.736,1.26,68.86,25.79,59.04,15.17,8.08,5.71,3.14,0.68,27.39,4.27,5.5,14.85,6.61,7.0,3.01,13.76,1.011,24.13,25.21,26.99
2003,GBR,11.659,1.48,74.73,24.82,59.27,15.91,4.25,5.22,2.44,1.03,8.15,1.64,5.35,25.15,11.66,10.76,10.34,13.93,2.794,21.32,25.48,26.72
2003,NLD,12.37,1.75,72.68,24.52,61.7,13.78,3.03,5.38,4.64,0.66,10.48,4.65,6.2,19.34,15.0,10.94,7.13,12.84,1.659,27.4,30.89,31.13
2003,DNK,12.015,1.76,77.39,24.21,60.9,14.89,4.63,4.46,2.14,0.8,11.71,2.65,5.51,27.23,12.84,11.67,5.25,11.11,3.666,34.32,38.34,39.96
2003,HUN,9.332,1.27,62.35,22.33,62.24,15.43,6.96,3.75,4.18,1.92,17.55,3.92,6.18,18.3,8.37,8.39,5.71,14.78,3.213,19.98,29.28,32.96
2003,PRT,10.773,1.44,72.82,22.05,61.1,16.84,3.73,6.59,3.21,1.39,16.86,4.59,6.6,13.7,10.89,7.26,10.53,14.66,1.41,14.77,19.44,21.72
2003,ITA,9.514,1.29,60.1,19.18,61.73,19.09,4.2,7.24,3.12,0.94,15.06,3.21,7.07,19.15,10.41,7.06,8.8,13.76,1.196,22.47,25.95,28.1
2003,SVN,8.682,1.2,68.1,21.26,63.86,14.88,5.15,5.99,3.03,0.92,16.16,3.41,5.91,18.29,9.07,10.64,6.65,14.79,1.977,25.39,34.18,35.44
2003,FIN,10.877,1.76,72.39,23.88,60.66,15.46,6.0,4.7,3.23,0.44,12.44,4.07,4.95,24.65,8.69,11.14,6.37,13.32,2.812,24.18,29.04,31.51
2003,AUT,9.499,1.38,71.98,22.36,62.2,15.44,3.54,6.5,2.8,0.83,10.22,3.95,6.97,19.62,10.41,10.16,11.83,13.18,3.03,21.66,30.04,32.0
2003,NOR,12.402,1.8,78.43,25.99,59.25,14.76,4.57,5.46,2.83,0.39,13.94,2.92,6.05,21.85,9.2,12.95,5.89,13.95,3.065,24.81,28.76,30.16
2003,IRL,15.521,1.96,72.02,28.63,60.27,11.1,6.96,5.09,2.84,1.23,9.97,2.94,6.83,20.01,11.84,7.46,14.15,10.68,2.66,13.14,17.98,22.94
2003,EST,9.479,1.37,69.26,23.6,60.38,16.02,7.51,6.76,3.23,1.23,19.25,3.21,5.0,19.85,7.28,8.47,6.56,11.65,1.422,18.39,22.26,23.0
2003,CHE,9.824,1.39,80.22,22.38,61.97,15.65,4.43,2.8,2.24,0.79,9.43,13.35,3.88,23.47,11.2,9.24,9.58,9.57,1.433,12.17,17.64,17.54
2003,GRC,9.566,1.29,63.57,21.44,60.65,17.9,4.86,6.59,2.97,2.09,17.06,4.69,4.11,17.01,8.79,4.6,13.95,13.29,0.778,22.21,21.82,22.78
2003,LVA,9.199,1.32,67.77,23.86,60.1,16.04,8.57,4.94,3.21,2.74,23.46,4.31,2.94,19.7,5.62,8.76,4.98,10.76,1.394,19.86,28.1,28.7
2003,SWE,11.09,1.71,78.1,23.98,58.86,17.16,4.02,4.69,3.41,0.25,12.31,2.89,5.05,27.63,9.29,12.04,5.27,13.14,3.114,25.94,30.58,31.24
2003,ESP,10.532,1.3,64.33,20.13,63.0,16.87,4.23,5.57,2.45,1.47,13.98,3.32,5.54,16.58,9.44,8.76,17.31,11.34,1.01,15.71,17.86,19.79
2003,SVK,9.621,1.2,64.82,25.87,62.63,11.51,6.08,4.44,3.82,1.09,16.27,1.2,5.33,31.63,7.06,8.59,6.89,7.58,1.775,13.27,20.01,21.11
2003,DEU,8.563,1.34,68.23,20.59,61.66,17.75,3.8,5.48,2.74,0.69,10.53,4.18,6.95,24.46,12.56,10.25,4.93,13.44,2.06,34.17,40.46,43.37
2003,LUX,11.829,1.62,67.19,24.43,61.56,14.01,10.29,5.64,1.67,0.57,8.77,2.18,6.97,21.28,13.36,7.1,7.3,14.87,3.74,8.57,19.42,24.57
