REF_AREA,Country,Year,Sex,Age,Measure,Value_emp_rate
BEL,Belgique,1993,Total,20-64,Employment to population ratio,61.1
DNK,Danemark,1993,Total,20-64,Employment to population ratio,74.05
EST,Estonie,1993,Total,20-64,Employment to population ratio,73.71
FIN,Finlande,1993,Total,20-64,Employment to population ratio,65.74
FRA,France,1993,Total,20-64,Employment to population ratio,66.35
DEU,Allemagne,1993,Total,20-64,Employment to population ratio,67.76
GRC,Grèce,1993,Total,20-64,Employment to population ratio,58.64
HUN,Hongrie,1993,Total,20-64,Employment to population ratio,60.29
ISL,Islande,1993,Total,20-64,Employment to population ratio,84.01
IRL,Irlande,1993,Total,20-64,Employment to population ratio,56.98
ITA,Italie,1993,Total,20-64,Employment to population ratio,56.81
LUX,Luxembourg,1993,Total,20-64,Employment to population ratio,64.62
NLD,Pays-Bas,1993,Total,20-64,Employment to population ratio,66.34
NOR,Norvège,1993,Total,20-64,Employment to population ratio,75.04
POL,Pologne,1993,Total,20-64,Employment to population ratio,65.0
PRT,Portugal,1993,Total,20-64,Employment to population ratio,69.25
ESP,Espagne,1993,Total,20-64,Employment to population ratio,51.48
SWE,Suède,1993,Total,20-64,Employment to population ratio,76.75
CHE,Suisse,1993,Total,20-64,Employment to population ratio,79.54
GBR,Royaume-Uni,1993,Total,20-64,Employment to population ratio,69.86
BEL,Belgique,1992,Total,20-64,Employment to population ratio,61.74
DNK,Danemark,1992,Total,20-64,Employment to population ratio,76.27
EST,Estonie,1992,Total,20-64,Employment to population ratio,77.5
FIN,Finlande,1992,Total,20-64,Employment to population ratio,69.88
FRA,France,1992,Total,20-64,Employment to population ratio,66.99
DEU,Allemagne,1992,Total,20-64,Employment to population ratio,68.71
GRC,Grèce,1992,Total,20-64,Employment to population ratio,58.68
HUN,Hongrie,1992,Total,20-64,Employment to population ratio,63.61
ISL,Islande,1992,Total,20-64,Employment to population ratio,84.68
IRL,Irlande,1992,Total,20-64,Employment to population ratio,56.67
ITA,Italie,1992,Total,20-64,Employment to population ratio,58.19
LUX,Luxembourg,1992,Total,20-64,Employment to population ratio,64.93
NLD,Pays-Bas,1992,Total,20-64,Employment to population ratio,66.24
NOR,Norvège,1992,Total,20-64,Employment to population ratio,75.37
POL,Pologne,1992,Total,20-64,Employment to population ratio,65.6
PRT,Portugal,1992,Total,20-64,Employment to population ratio,70.16
ESP,Espagne,1992,Total,20-64,Employment to population ratio,53.75
SWE,Suède,1992,Total,20-64,Employment to population ratio,81.07
CHE,Suisse,1992,Total,20-64,Employment to population ratio,80.47
GBR,Royaume-Uni,1992,Total,20-64,Employment to population ratio,70.39
BEL,Belgique,1991,Total,20-64,Employment to population ratio,61.1
DNK,Danemark,1991,Total,20-64,Employment to population ratio,76.57
EST,Estonie,1991,Total,20-64,Employment to population ratio,81.47
FIN,Finlande,1991,Total,20-64,Employment to population ratio,74.72
FRA,France,1991,Total,20-64,Employment to population ratio,67.46
DEU,Allemagne,1991,Total,20-64,Employment to population ratio,69.56
GRC,Grèce,1991,Total,20-64,Employment to population ratio,57.99
