Year,REF_AREA,Country,Age,Sex,Unit_measure,Unit_mult,Value_population
1994,SWE,Suède,0-19,Total,PS,0,2157664.0
1994,SWE,Suède,0-19,Total,PT_POP,0,18.7
1995,AUT,Autriche,0-19,Total,PS,0,1875112.0
1995,AUT,Autriche,0-19,Total,PT_POP,0,17.84
1995,BEL,Belgique,0-19,Total,PS,0,2439727.0
1995,BEL,Belgique,0-19,Total,PT_POP,0,18.03
1995,BGR,Bulgarie,0-19,Total,PS,0,2158745.0
1995,BGR,Bulgarie,0-19,Total,PT_POP,0,18.13
1995,CHE,Suisse,0-19,Total,PS,0,1633438.0
1995,CHE,Suisse,0-19,Total,PT_POP,0,17.63
1995,DEU,Allemagne,0-19,Total,PS,0,17551655.0
1995,DEU,Allemagne,0-19,Total,PT_POP,0,16.3
1995,DNK,Danemark,0-19,Total,PS,0,1229333.0
1995,DNK,Danemark,0-19,Total,PT_POP,0,17.27
1995,ESP,Espagne,0-19,Total,PS,0,9967277.0
1995,ESP,Espagne,0-19,Total,PT_POP,0,16.87
1995,EST,Estonie,0-19,Total,PS,0,402448.0
1995,EST,Estonie,0-19,Total,PT_POP,0,20.89
1995,FIN,Finlande,0-19,Total,PS,0,1300146.0
1995,FIN,Finlande,0-19,Total,PT_POP,0,19.07
1995,FRA,France,0-19,Total,PS,0,15084361.0
1995,FRA,France,0-19,Total,PT_POP,0,19.62
1995,GBR,Royaume-Uni,0-19,Total,PS,0,14714800.0
1995,GBR,Royaume-Uni,0-19,Total,PT_POP,0,19.46
1995,GRC,Grèce,0-19,Total,PS,0,2560022.0
1995,GRC,Grèce,0-19,Total,PT_POP,0,16.92
1995,HUN,Hongrie,0-19,Total,PS,0,2742887.0
1995,HUN,Hongrie,0-19,Total,PT_POP,0,18.3
1995,IRL,Irlande,0-19,Total,PS,0,1217264.0
1995,IRL,Irlande,0-19,Total,PT_POP,0,24.55
1995,ISL,Islande,0-19,Total,PS,0,86511.0
1995,ISL,Islande,0-19,Total,PT_POP,0,24.58
1995,ITA,Italie,0-19,Total,PS,0,12063502.0
1995,ITA,Italie,0-19,Total,PT_POP,0,14.77
1995,LTU,Lituanie,0-19,Total,PS,0,1052224.0
1995,LTU,Lituanie,0-19,Total,PT_POP,0,21.91
1995,LUX,Luxembourg,0-19,Total,PS,0,96464.0
1995,LUX,Luxembourg,0-19,Total,PT_POP,0,18.34
1995,LVA,Lettonie,0-19,Total,PS,0,685899.0
1995,LVA,Lettonie,0-19,Total,PT_POP,0,20.87
1995,NLD,Pays-Bas,0-19,Total,PS,0,3760155.0
1995,NLD,Pays-Bas,0-19,Total,PT_POP,0,18.4
1995,NOR,Norvège,0-19,Total,PS,0,1116134.0
1995,NOR,Norvège,0-19,Total,PT_POP,0,19.42
1995,POL,Pologne,0-19,Total,PS,0,12117401.0
1995,POL,Pologne,0-19,Total,PT_POP,0,23.13
1995,PRT,Portugal,0-19,Total,PS,0,2599974.0
1995,PRT,Portugal,0-19,Total,PT_POP,0,17.98
1995,ROU,Roumanie,0-19,Total,PS,0,6702347.0
1995,ROU,Roumanie,0-19,Total,PT_POP,0,20.83
1995,SVK,République slovaque,0-19,Total,PS,0,1702479.0
1995,SVK,République slovaque,0-19,Total,PT_POP,0,22.89
1995,SVN,Slovénie,0-19,Total,PS,0,519449.0
1995,SVN,Slovénie,0-19,Total,PT_POP,0,18.53
1995,SWE,Suède,0-19,Total,PS,0,2174894.0
1995,SWE,Suède,0-19,Total,PT_POP,0,18.86
1996,AUT,Autriche,0-19,Total,PS,0,1871831.0
1996,AUT,Autriche,0-19,Total,PT_POP,0,17.79
1996,BEL,Belgique,0-19,Total,PS,0,2435521.0
1996,BEL,Belgique,0-19,Total,PT_POP,0,17.91
1996,BGR,Bulgarie,0-19,Total,PS,0,2100302.0
1996,BGR,Bulgarie,0-19,Total,PT_POP,0,17.67
1996,CHE,Suisse,0-19,Total,PS,0,1646894.0
1996,CHE,Suisse,0-19,Total,PT_POP,0,17.66
1996,DEU,Allemagne,0-19,Total,PS,0,17628659.0
1996,DEU,Allemagne,0-19,Total,PT_POP,0,16.18
1996,DNK,Danemark,0-19,Total,PS,0,1235784.0
1996,DNK,Danemark,0-19,Total,PT_POP,0,17.51
1996,ESP,Espagne,0-19,Total,PS,0,9688091.0
1996,ESP,Espagne,0-19,Total,PT_POP,0,16.31
1996,EST,Estonie,0-19,Total,PS,0,391103.0
1996,EST,Estonie,0-19,Total,PT_POP,0,20.49
1996,FIN,Finlande,0-19,Total,PS,0,1298888.0
1996,FIN,Finlande,0-19,Total,PT_POP,0,18.99
1996,FRA,France,0-19,Total,PS,0,15058227.0
1996,FRA,France,0-19,Total,PT_POP,0,19.41
1996,GBR,Royaume-Uni,0-19,Total,PS,0,14761600.0
1996,GBR,Royaume-Uni,0-19,Total,PT_POP,0,19.4
1996,GRC,Grèce,0-19,Total,PS,0,2510198.0
1996,GRC,Grèce,0-19,Total,PT_POP,0,16.34
1996,HUN,Hongrie,0-19,Total,PS,0,2670756.0
1996,HUN,Hongrie,0-19,Total,PT_POP,0,18.01
1996,IRL,Irlande,0-19,Total,PS,0,1202530.0
1996,IRL,Irlande,0-19,Total,PT_POP,0,23.87
1996,ISL,Islande,0-19,Total,PS,0,86162.0
1996,ISL,Islande,0-19,Total,PT_POP,0,24.26
1996,ITA,Italie,0-19,Total,PS,0,11795680.0
1996,ITA,Italie,0-19,Total,PT_POP,0,14.62
1996,LTU,Lituanie,0-19,Total,PS,0,1034904.0
1996,LTU,Lituanie,0-19,Total,PT_POP,0,21.64
1996,LUX,Luxembourg,0-19,Total,PS,0,98495.0
1996,LUX,Luxembourg,0-19,Total,PT_POP,0,18.48
1996,LVA,Lettonie,0-19,Total,PS,0,669668.0
1996,LVA,Lettonie,0-19,Total,PT_POP,0,20.49
1996,NLD,Pays-Bas,0-19,Total,PS,0,3771609.0
1996,NLD,Pays-Bas,0-19,Total,PT_POP,0,18.38
1996,NOR,Norvège,0-19,Total,PS,0,1120784.0
1996,NOR,Norvège,0-19,Total,PT_POP,0,19.54
1996,POL,Pologne,0-19,Total,PS,0,11914891.0
1996,POL,Pologne,0-19,Total,PT_POP,0,22.48
1996,PRT,Portugal,0-19,Total,PS,0,2541526.0
1996,PRT,Portugal,0-19,Total,PT_POP,0,17.56
1996,ROU,Roumanie,0-19,Total,PS,0,6523351.0
1996,ROU,Roumanie,0-19,Total,PT_POP,0,20.19
1996,SVK,République slovaque,0-19,Total,PS,0,1669532.0
1996,SVK,République slovaque,0-19,Total,PT_POP,0,22.27
1996,SVN,Slovénie,0-19,Total,PS,0,512245.0
1996,SVN,Slovénie,0-19,Total,PT_POP,0,18.11
1996,SWE,Suède,0-19,Total,PS,0,2172112.0
1996,SWE,Suède,0-19,Total,PT_POP,0,18.84
1997,AUT,Autriche,0-19,Total,PS,0,1870818.0
1997,AUT,Autriche,0-19,Total,PT_POP,0,17.67
1997,BEL,Belgique,0-19,Total,PS,0,2434606.0
1997,BEL,Belgique,0-19,Total,PT_POP,0,17.81
1997,BGR,Bulgarie,0-19,Total,PS,0,2041210.0
1997,BGR,Bulgarie,0-19,Total,PT_POP,0,17.23
1997,CHE,Suisse,0-19,Total,PS,0,1653124.0
1997,CHE,Suisse,0-19,Total,PT_POP,0,17.66
1997,DEU,Allemagne,0-19,Total,PS,0,17674008.0
1997,DEU,Allemagne,0-19,Total,PT_POP,0,16.08
1997,DNK,Danemark,0-19,Total,PS,0,1242454.0
1997,DNK,Danemark,0-19,Total,PT_POP,0,17.76
1997,ESP,Espagne,0-19,Total,PS,0,9404615.0
1997,ESP,Espagne,0-19,Total,PT_POP,0,15.82
1997,EST,Estonie,0-19,Total,PS,0,380252.0
1997,EST,Estonie,0-19,Total,PT_POP,0,20.01
1997,FIN,Finlande,0-19,Total,PS,0,1293911.0
1997,FIN,Finlande,0-19,Total,PT_POP,0,18.87
1997,FRA,France,0-19,Total,PS,0,15055742.0
1997,FRA,France,0-19,Total,PT_POP,0,19.22
1997,GBR,Royaume-Uni,0-19,Total,PS,0,14846500.0
1997,GBR,Royaume-Uni,0-19,Total,PT_POP,0,19.37
1997,GRC,Grèce,0-19,Total,PS,0,2457552.0
1997,GRC,Grèce,0-19,Total,PT_POP,0,15.84
1997,HUN,Hongrie,0-19,Total,PS,0,2601865.0
1997,HUN,Hongrie,0-19,Total,PT_POP,0,17.71
1997,IRL,Irlande,0-19,Total,PS,0,1192078.0
1997,IRL,Irlande,0-19,Total,PT_POP,0,23.24
1997,ISL,Islande,0-19,Total,PS,0,86112.0
1997,ISL,Islande,0-19,Total,PT_POP,0,24.01
1997,ITA,Italie,0-19,Total,PS,0,11600052.0
1997,ITA,Italie,0-19,Total,PT_POP,0,14.52
1997,LTU,Lituanie,0-19,Total,PS,0,1017238.0
1997,LTU,Lituanie,0-19,Total,PT_POP,0,21.37
1997,LUX,Luxembourg,0-19,Total,PS,0,100409.0
1997,LUX,Luxembourg,0-19,Total,PT_POP,0,18.58
1997,LVA,Lettonie,0-19,Total,PS,0,652926.0
1997,LVA,Lettonie,0-19,Total,PT_POP,0,20.0
1997,NLD,Pays-Bas,0-19,Total,PS,0,3787364.0
1997,NLD,Pays-Bas,0-19,Total,PT_POP,0,18.38
1997,NOR,Norvège,0-19,Total,PS,0,1128607.0
1997,NOR,Norvège,0-19,Total,PT_POP,0,19.66
1997,POL,Pologne,0-19,Total,PS,0,11690912.0
1997,POL,Pologne,0-19,Total,PT_POP,0,21.86
1997,PRT,Portugal,0-19,Total,PS,0,2489924.0
1997,PRT,Portugal,0-19,Total,PT_POP,0,17.23
1997,ROU,Roumanie,0-19,Total,PS,0,6340181.0
1997,ROU,Roumanie,0-19,Total,PT_POP,0,19.64
1997,SVK,République slovaque,0-19,Total,PS,0,1633785.0
1997,SVK,République slovaque,0-19,Total,PT_POP,0,21.66
1997,SVN,Slovénie,0-19,Total,PS,0,498454.0
1997,SVN,Slovénie,0-19,Total,PT_POP,0,17.53
1997,SWE,Suède,0-19,Total,PS,0,2164898.0
1997,SWE,Suède,0-19,Total,PT_POP,0,18.78
1998,AUT,Autriche,0-19,Total,PS,0,1866873.0
1998,AUT,Autriche,0-19,Total,PT_POP,0,17.49
1998,BEL,Belgique,0-19,Total,PS,0,2430706.0
1998,BEL,Belgique,0-19,Total,PT_POP,0,17.73
1998,BGR,Bulgarie,0-19,Total,PS,0,1976707.0
1998,BGR,Bulgarie,0-19,Total,PT_POP,0,16.75
1998,CHE,Suisse,0-19,Total,PS,0,1654570.0
1998,CHE,Suisse,0-19,Total,PT_POP,0,17.59
1998,DEU,Allemagne,0-19,Total,PS,0,17661417.0
1998,DEU,Allemagne,0-19,Total,PT_POP,0,15.96
1998,DNK,Danemark,0-19,Total,PS,0,1249645.0
1998,DNK,Danemark,0-19,Total,PT_POP,0,17.98
1998,ESP,Espagne,0-19,Total,PS,0,9144511.0
1998,ESP,Espagne,0-19,Total,PT_POP,0,15.41
1998,EST,Estonie,0-19,Total,PS,0,371027.0
1998,EST,Estonie,0-19,Total,PT_POP,0,19.49
