Year,REF_AREA,Country,Measure,Unit_measure,Value
2012,SVN,Slovénie,household_debt,PT,62.24
2012,ESP,Espagne,household_debt,PT,139.39
2012,SWE,Suède,household_debt,PT,164.4
2012,CHE,Suisse,household_debt,PT,196.64
2012,GBR,Royaume-Uni,household_debt,PT,157.94
2013,AUT,Autriche,household_debt,PT,93.1
2013,BEL,Belgique,household_debt,PT,103.47
2013,DNK,Danemark,household_debt,PT,293.87
2013,EST,Estonie,household_debt,PT,81.67
2013,FIN,Finlande,household_debt,PT,121.98
2013,FRA,France,household_debt,PT,115.2
2013,DEU,Allemagne,household_debt,PT,93.87
2013,GRC,Grèce,household_debt,PT,130.85
2013,HUN,Hongrie,household_debt,PT,59.08
2013,IRL,Irlande,household_debt,PT,218.54
2013,ITA,Italie,household_debt,PT,89.01
2013,LVA,Lettonie,household_debt,PT,58.57
2013,LTU,Lituanie,household_debt,PT,47.08
2013,LUX,Luxembourg,household_debt,PT,157.36
2013,NLD,Pays-Bas,household_debt,PT,295.2
2013,NOR,Norvège,household_debt,PT,217.05
2013,POL,Pologne,household_debt,PT,58.11
2013,PRT,Portugal,household_debt,PT,144.42
2013,SVK,République slovaque,household_debt,PT,61.77
2013,SVN,Slovénie,household_debt,PT,60.57
2013,ESP,Espagne,household_debt,PT,131.69
2013,SWE,Suède,household_debt,PT,166.96
2013,CHE,Suisse,household_debt,PT,201.16
2013,GBR,Royaume-Uni,household_debt,PT,154.31
2014,AUT,Autriche,household_debt,PT,92.62
2014,BEL,Belgique,household_debt,PT,107.74
2014,DNK,Danemark,household_debt,PT,294.07
2014,EST,Estonie,household_debt,PT,80.88
2014,FIN,Finlande,household_debt,PT,121.69
2014,FRA,France,household_debt,PT,116.19
2014,DEU,Allemagne,household_debt,PT,92.72
2014,GRC,Grèce,household_debt,PT,125.05
2014,HUN,Hongrie,household_debt,PT,56.38
2014,IRL,Irlande,household_debt,PT,201.66
2014,ITA,Italie,household_debt,PT,87.88
2014,LVA,Lettonie,household_debt,PT,53.16
2014,LTU,Lituanie,household_debt,PT,47.76
2014,LUX,Luxembourg,household_debt,PT,164.82
2014,NLD,Pays-Bas,household_debt,PT,279.79
2014,NOR,Norvège,household_debt,PT,220.81
2014,POL,Pologne,household_debt,PT,57.91
2014,PRT,Portugal,household_debt,PT,141.16
2014,SVK,République slovaque,household_debt,PT,66.24
2014,SVN,Slovénie,household_debt,PT,59.71
2014,ESP,Espagne,household_debt,PT,125.6
2014,SWE,Suède,household_debt,PT,170.49
2014,CHE,Suisse,household_debt,PT,206.66
2014,GBR,Royaume-Uni,household_debt,PT,153.53
2015,AUT,Autriche,household_debt,PT,93.44
2015,BEL,Belgique,household_debt,PT,110.54
2015,DNK,Danemark,household_debt,PT,276.76
2015,EST,Estonie,household_debt,PT,79.29
2015,FIN,Finlande,household_debt,PT,124.92
2015,FRA,France,household_debt,PT,118.76
2015,DEU,Allemagne,household_debt,PT,91.93
2015,GRC,Grèce,household_debt,PT,117.35
2015,HUN,Hongrie,household_debt,PT,48.77
2015,IRL,Irlande,household_debt,PT,179.46
2015,ITA,Italie,household_debt,PT,86.79
2015,LVA,Lettonie,household_debt,PT,52.45
2015,LTU,Lituanie,household_debt,PT,56.72
2015,LUX,Luxembourg,household_debt,PT,170.89
2015,NLD,Pays-Bas,household_debt,PT,275.91
2015,NOR,Norvège,household_debt,PT,217.6
2015,POL,Pologne,household_debt,PT,59.7
2015,PRT,Portugal,household_debt,PT,134.3
2015,SVK,République slovaque,household_debt,PT,69.09
2015,SVN,Slovénie,household_debt,PT,58.58
2015,ESP,Espagne,household_debt,PT,115.96
2015,SWE,Suède,household_debt,PT,176.45
2015,CHE,Suisse,household_debt,PT,211.31
2015,GBR,Royaume-Uni,household_debt,PT,148.9
2016,AUT,Autriche,household_debt,PT,92.44
2016,BEL,Belgique,household_debt,PT,112.1
2016,DNK,Danemark,household_debt,PT,270.37
2016,EST,Estonie,household_debt,PT,80.1
2016,FIN,Finlande,household_debt,PT,131.7
2016,FRA,France,household_debt,PT,120.24
2016,DEU,Allemagne,household_debt,PT,91.91
2016,GRC,Grèce,household_debt,PT,116.97
2016,HUN,Hongrie,household_debt,PT,45.93
2016,IRL,Irlande,household_debt,PT,161.02
2016,ITA,Italie,household_debt,PT,86.76
2016,LVA,Lettonie,household_debt,PT,47.46
2016,LTU,Lituanie,household_debt,PT,52.42
2016,LUX,Luxembourg,household_debt,PT,177.36
2016,NLD,Pays-Bas,household_debt,PT,270.55
2016,NOR,Norvège,household_debt,PT,227.03
2016,POL,Pologne,household_debt,PT,59.96
2016,PRT,Portugal,household_debt,PT,127.95
2016,SVK,République slovaque,household_debt,PT,74.62
2016,SVN,Slovénie,household_debt,PT,57.84
2016,ESP,Espagne,household_debt,PT,111.3
2016,SWE,Suède,household_debt,PT,182.26
2016,CHE,Suisse,household_debt,PT,214.35
2016,GBR,Royaume-Uni,household_debt,PT,151.69
2017,AUT,Autriche,household_debt,PT,91.45
2017,BEL,Belgique,household_debt,PT,112.93
2017,DNK,Danemark,household_debt,PT,265.17
2017,EST,Estonie,household_debt,PT,80.18
2017,FIN,Finlande,household_debt,PT,137.65
2017,FRA,France,household_debt,PT,123.49
2017,DEU,Allemagne,household_debt,PT,91.89
2017,GRC,Grèce,household_debt,PT,112.17
2017,HUN,Hongrie,household_debt,PT,42.31
2017,IRL,Irlande,household_debt,PT,167.83
2017,ITA,Italie,household_debt,PT,86.17
2017,LVA,Lettonie,household_debt,PT,45.09
2017,LTU,Lituanie,household_debt,PT,58.72
2017,LUX,Luxembourg,household_debt,PT,177.22
2017,NLD,Pays-Bas,household_debt,PT,269.36
2017,NOR,Norvège,household_debt,PT,231.78
2017,POL,Pologne,household_debt,PT,58.07
2017,PRT,Portugal,household_debt,PT,125.83
2017,SVK,République slovaque,household_debt,PT,75.13
2017,SVN,Slovénie,household_debt,PT,57.8
2017,ESP,Espagne,household_debt,PT,107.47
2017,SWE,Suède,household_debt,PT,186.68
2017,CHE,Suisse,household_debt,PT,220.22
2017,GBR,Royaume-Uni,household_debt,PT,152.14
2018,AUT,Autriche,household_debt,PT,90.96
2018,BEL,Belgique,household_debt,PT,113.14
2018,DNK,Danemark,household_debt,PT,256.93
2018,EST,Estonie,household_debt,PT,75.81
2018,FIN,Finlande,household_debt,PT,144.43
2018,FRA,France,household_debt,PT,125.55
2018,DEU,Allemagne,household_debt,PT,89.83
2018,GRC,Grèce,household_debt,PT,113.93
2018,HUN,Hongrie,household_debt,PT,39.47
2018,IRL,Irlande,household_debt,PT,155.23
2018,ITA,Italie,household_debt,PT,86.26
2018,LVA,Lettonie,household_debt,PT,41.76
2018,LTU,Lituanie,household_debt,PT,59.13
2018,LUX,Luxembourg,household_debt,PT,184.4
2018,NLD,Pays-Bas,household_debt,PT,261.03
2018,NOR,Norvège,household_debt,PT,237.13
2018,POL,Pologne,household_debt,PT,58.66
2018,PRT,Portugal,household_debt,PT,120.97
2018,SVK,République slovaque,household_debt,PT,78.36
2018,SVN,Slovénie,household_debt,PT,57.48
2018,ESP,Espagne,household_debt,PT,104.51
2018,SWE,Suède,household_debt,PT,188.78
2018,CHE,Suisse,household_debt,PT,222.8
2018,GBR,Royaume-Uni,household_debt,PT,149.17
2019,AUT,Autriche,household_debt,PT,92.14
2019,BEL,Belgique,household_debt,PT,114.93
2019,DNK,Danemark,household_debt,PT,257.01
2019,EST,Estonie,household_debt,PT,76.37
2019,FIN,Finlande,household_debt,PT,147.21
2019,FRA,France,household_debt,PT,126.05
2019,DEU,Allemagne,household_debt,PT,91.93
2019,GRC,Grèce,household_debt,PT,101.59
2019,HUN,Hongrie,household_debt,PT,39.97
2019,IRL,Irlande,household_debt,PT,120.37
2019,ITA,Italie,household_debt,PT,87.76
2019,LVA,Lettonie,household_debt,PT,40.68
2019,LTU,Lituanie,household_debt,PT,58.96
2019,LUX,Luxembourg,household_debt,PT,185.19
2019,NLD,Pays-Bas,household_debt,PT,253.9
2019,NOR,Norvège,household_debt,PT,238.44
2019,POL,Pologne,household_debt,PT,58.04
2019,PRT,Portugal,household_debt,PT,122.37
2019,SVK,République slovaque,household_debt,PT,79.16
2019,SVN,Slovénie,household_debt,PT,56.01
2019,ESP,Espagne,household_debt,PT,99.48
2019,SWE,Suède,household_debt,PT,189.51
2019,CHE,Suisse,household_debt,PT,223.96
2019,GBR,Royaume-Uni,household_debt,PT,146.28
2020,AUT,Autriche,household_debt,PT,94.55
2020,BEL,Belgique,household_debt,PT,117.22
2020,DNK,Danemark,household_debt,PT,263.3
2020,EST,Estonie,household_debt,PT,78.2
2020,FIN,Finlande,household_debt,PT,155.81
2020,FRA,France,household_debt,PT,130.72
2020,DEU,Allemagne,household_debt,PT,95.45
2020,GRC,Grèce,household_debt,PT,104.37
2020,HUN,Hongrie,household_debt,PT,43.79
2020,IRL,Irlande,household_debt,PT,114.36
2020,ITA,Italie,household_debt,PT,90.37
2020,LVA,Lettonie,household_debt,PT,40.17
2020,LTU,Lituanie,household_debt,PT,56.61
2020,LUX,Luxembourg,household_debt,PT,182.11
2020,NLD,Pays-Bas,household_debt,PT,249.9
2020,NOR,Norvège,household_debt,PT,244.53
2020,POL,Pologne,household_debt,PT,55.35
2020,PRT,Portugal,household_debt,PT,127.86
2020,SVK,République slovaque,household_debt,PT,81.9
2020,SVN,Slovénie,household_debt,PT,53.54
2020,ESP,Espagne,household_debt,PT,100.96
2020,SWE,Suède,household_debt,PT,200.33
2020,CHE,Suisse,household_debt,PT,223.91
2020,GBR,Royaume-Uni,household_debt,PT,151.02
2021,AUT,Autriche,household_debt,PT,94.63
2021,BEL,Belgique,household_debt,PT,117.56
2021,DNK,Danemark,household_debt,PT,255.29
2021,EST,Estonie,household_debt,PT,77.81
2021,FIN,Finlande,household_debt,PT,157.85
2021,FRA,France,household_debt,PT,130.63
2021,DEU,Allemagne,household_debt,PT,97.5
2021,GRC,Grèce,household_debt,PT,97.64
2021,HUN,Hongrie,household_debt,PT,44.03
2021,IRL,Irlande,household_debt,PT,109.47
